account_id,account_name,domain,industry,employee_range,country,lifecycle_stage,created_date,last_activity_date,owner,arr_eur,renewal_date
ACC-012630,Lumigorretail,lumigorretail.com,Healthcare,501-1000,France,lead,04/15/24,,c.rinaldi,,
ACC-017123,Axiorinlab,,Consulting,11-50,FR,lead,05/17/24,11/03/24,c.rinaldi,,
ACC-011204,Delfipradata SA,delfipradata.fr,Logistics,51-200,Allemagne,prospect,2026-04-27,06/28/26,c.rinaldi,,
ACC-027245,Dorioviamobility,dorioviamobility.eu,Construction,1001-5000,Fr,prospect,04/16/20,,c.rinaldi,,
ACC-004373,Belforinlogistics France,belforinlogistics.com,Financial Services,51-200,Fr,lost,19/04/2025,2025-06-08,m.delacroix,,
ACC-001661,Cortivenlogistics,cortivenlogistics.fr,Software,201-500,Belgium,prospect,07/02/25,2025-09-20,,,
ACC-013791,Vespitasdigital,vespitasdigital.fr,Software,201-500,Fr,lost,24/10/2024,,c.rinaldi,,
ACC-003358,VespirinLogic SAS,vespirinlogic.io,Healthcare,51-200,FR,churned,2025-10-25,03/19/26,p.lindqvist,8000,
ACC-009610,CendraDynamics,cendradynamics.eu,Energy,201-500,Fr,lead,2021-05-09,2026-02-17,s.okafor,,
ACC-004815,Rapilexlab,rapilexlab.fr,Real Estate,1-10,Netherlands,prospect,2022-06-26,12/09/24,a.morel,,
ACC-005896,Fernonexdynamics,fernonexdynamics.fr,Retail,1001-5000,FR,churned,2022-04-02,01/02/2026,,3000,
ACC-013183,Mavimarfinance SAS,mavimarfinance.eu,Energy,501-1000,France,lost,2018-05-26,2026-06-10,,,
ACC-029968,SOLICALDYNAMICS,www.solicaldynamics.eu,Manufacturing,501-1000,Allemagne,lost,09/02/20,,p.lindqvist,,
ACC-025204,StellamarHub Group,stellamarhub.co,Hospitality,11-50,DE,lead,08/01/2024,2025-11-15,c.rinaldi,,
ACC-008131,Grimolexenergie SA,grimolexenergie.io,Education,51-200,Allemagne,prospect,06/07/19,07/30/20,p.lindqvist,,
ACC-016484,Estevalexservices Group,estevalexservices.fr,Software,11-50,Fr,lost,06/11/22,2026-07-12,s.okafor,,
ACC-017656,Stellagordynamics SA,stellagordynamics.fr,Manufacturing,11-50,Italy,opportunity,05/10/25,2025-07-20,,,
ACC-010387,TalogorSolutions,,Software,11-50,Italy,lead,23/12/2025,,a.morel,,
ACC-017711,Zephisoft SA,zephisoft.fr,Agriculture,1-10,Fr,lead,26/03/2026,04/13/26,s.okafor,,
ACC-011286,GrimobelGroup France,grimobelgroup.co,Automotive,201-500,Fr,lead,2026-01-31,02/12/26,c.rinaldi,,
ACC-021965,Heliohalworks,heliohalworks.fr,Consulting,51-200,Espagne,lead,06/14/18,,,,
ACC-020012,BriobelConseil France,briobelconseil.co,Energy,11-50,ES,lead,2018-08-29,,s.okafor,,
ACC-010807,VectosolImmo,vectosolimmo.com,Media,51-200,spain,customer,11/05/22,19/06/2024,,5000,09/10/2026
ACC-003636,Cortiservices SARL,cortiservices.com,Construction,51-200,Suisse,prospect,09/11/23,2025-02-16,m.delacroix,,
ACC-009596,StellanexData Group,stellanexdata.fr,Construction,201-500,Allemagne,lead,2020-07-10,12/18/25,c.rinaldi,,
ACC-011824,CortiSolutions SA,cortisolutions.fr,Education,51-200,France,lost,02/05/2023,10/05/2025,m.delacroix,,
ACC-019028,SolipraGroup,solipragroup.fr,Energy,501-1000,NL,customer,2024-11-02,,a.morel,8000,07/17/27
ACC-027577,Ovalivenfinance SAS,ovalivenfinance.fr,Software,51-200,FRANCE,lead,2019-10-01,2025-02-13,,,
ACC-029232,Juntodorindustries,juntodorindustries.fr,Real Estate,51-200,Spain,lead,2023-03-29,,,,
ACC-005790,Taloimmo Group,taloimmo.fr,Agriculture,51-200,Fr,prospect,2021-08-30,06/02/2025,j.vandenberg,,
ACC-020343,JuntorinFood & Co,juntorinfood.eu,Software,11-50,FRANCE,lead,2025-05-27,09/24/25,p.lindqvist,,
ACC-021121,CendrahalIndustries France,cendrahalindustries.com,Consulting,501-1000,Spain,prospect,08/02/2021,2024-12-20,,,
ACC-004940,Gallimarmedia France,gallimarmedia.fr,Real Estate,51-200,France,prospect,2019-09-21,25/07/2025,,,
ACC-010861,Perrimardigital,perrimardigital.fr,Financial Services,201-500,FRANCE,lead,01/09/2024,11/11/25,c.rinaldi,,
ACC-007206,Zephinextech France,zephinextech.fr,Energy,1-10,ES,lead,2021-02-13,2025-07-31,,,
ACC-000981,Ulmicaldigital SAS,ulmicaldigital.io,Media,11-50,Germany,lead,2022-03-01,,a.morel,,
ACC-015430,PrimoRetail SA,www.primoretail.com,,1-10,germany,prospect,09/07/21,13/06/2024,a.morel,,
ACC-027503,Ederitasenergie,ederitasenergie.eu,Construction,,france,lead,2024-08-21,05/25/26,l.moreau,,
ACC-013281,SylvavenServices SARL,sylvavenservices.fr,Manufacturing,51-200,Fr,opportunity,06/06/21,03/26/25,l.moreau,,
ACC-019490,Solisolconseil,solisolconseil.eu,Agriculture,51-200,FRANCE,lost,10/22/19,11/28/21,c.rinaldi,,
ACC-015437,Axiocalenergie,www.axiocalenergie.com,Retail,51-200,france,lost,03/09/2019,,p.lindqvist,,
ACC-004892,GallibelFlow,gallibelflow.fr,Software,201-500,France,prospect,09/06/2026,2026-06-11,,,
ACC-018974,UlmicalRetail SARL,ulmicalretail.com,Telecom,201-500,Netherlands,lost,06/03/20,20/10/2020,a.morel,,
ACC-009038,NordifinFlow,www.nordifinflow.com,Education,,Fr,lead,2025-09-26,01/02/2026,m.delacroix,,
ACC-029429,RAPIGORWORKS,www.rapigorworks.co,Media,11-50,FR,prospect,2024-10-30,,,,
ACC-020122,Mavibellabs,mavibellabs.io,Energy,11-50,Switzerland,lead,2025-11-16,2025-12-15,m.delacroix,,
ACC-009860,Talosolconsulting France,talosolconsulting.fr,Logistics,11-50,FRANCE,customer,01/03/2021,,c.rinaldi,25000,10/07/2026
ACC-021214,Ederilummobility,ederilummobility.fr,Healthcare,11-50,FRANCE,churned,2026-06-09,2026-07-17,s.okafor,12000,
ACC-002254,NeohalLogistics,neohallogistics.fr,Consulting,11-50,belgium,lead,2021-08-21,2023-01-30,c.rinaldi,,
ACC-005477,EderiTech,ederitech.com,Media,1-10,Fr,prospect,04/01/18,20/12/2023,j.vandenberg,,
ACC-005622,AxiolexLogic,axiolexlogic.fr,Automotive,51-200,Fr,lead,24/01/2026,03/04/26,j.vandenberg,,
ACC-028419,Optiprafood SAS,optiprafood.fr,Hospitality,201-500,Fr,lost,18/09/2023,24/10/2024,m.delacroix,,
ACC-009315,RoccaHub & Co,,Media,11-50,Pays-Bas,lost,07/18/26,07/22/26,t.becker,,
ACC-022529,OvalitasFood SARL,ovalitasfood.co,Agriculture,51-200,FR,prospect,05/11/26,16/05/2026,a.morel,,
ACC-010483,Axioforge,axioforge.com,Construction,11-50,Switzerland,prospect,10/10/21,,l.moreau,,
ACC-004556,EderivenWorks SA,ederivenworks.io,,51-200,France,lead,02/06/2022,,s.okafor,,
ACC-011030,IvorohalIndustries Group,ivorohalindustries.eu,Logistics,11-50,Italy,lost,14/05/2024,,j.vandenberg,,
ACC-004400,OvalifinLogic SARL,ovalifinlogic.eu,Real Estate,501-1000,Switzerland,lead,02/01/2024,03/19/24,p.lindqvist,,
ACC-005795,Ovalicalindustries,,,11-50,France,prospect,2024-03-03,2024-10-17,m.delacroix,,
ACC-024205,PerricalPartners Group,perricalpartners.fr,Hospitality,201-500,Fr,lead,2019-09-04,11/07/21,,,
ACC-006753,Delfihalmobility Group,delfihalmobility.eu,Hospitality,51-200,ES,prospect,2021-03-06,08/22/23,j.vandenberg,,
ACC-010305,Estevanexmobility,estevanexmobility.co,Energy,,belgium,lead,26/04/2021,,,,
ACC-010988,Belfolexpharma SA,belfolexpharma.fr,Healthcare,501-1000,CH,lead,11/02/21,07/01/2025,,,
ACC-017211,MeririnLogic,meririnlogic.fr,Retail,11-50,Pays-Bas,churned,11/06/20,2026-06-08,j.vandenberg,3000,
ACC-022874,ArdenrinDynamics SA,ardenrindynamics.eu,Consulting,51-200,DE,lost,2022-05-18,22/02/2026,c.rinaldi,,
ACC-025586,SylvaGroup SA,sylvagroup.io,Logistics,501-1000,France,prospect,2024-05-07,04/23/26,,,
ACC-011946,Lorrinexretail SARL,,Energy,1001-5000,France,prospect,23/05/2025,,m.delacroix,,
ACC-024093,VespipraImmo France,vespipraimmo.fr,Telecom,11-50,Belgique,prospect,2019-06-23,2021-07-03,l.moreau,,
ACC-010342,AxiohalSystems & Co,,,201-500,Pays-Bas,opportunity,2023-05-22,10/12/24,t.becker,,
ACC-026464,Ovalienergie SARL,ovalienergie.fr,Logistics,11-50,Fr,lead,09/16/23,11/14/24,m.delacroix,,
ACC-022781,ArdenhalLabs,ardenhallabs.fr,Software,51-200,france,lead,2025-12-26,2026-05-24,s.okafor,,
ACC-023462,Yelloquilabs SA,,Logistics,1-10,Italie,lead,11/22/18,2020-11-01,p.lindqvist,,
ACC-006078,SerenilumRetail SARL,serenilumretail.com,Financial Services,501-1000,France,lead,2025-04-28,03/09/2025,j.vandenberg,,
ACC-028665,VECTOTASGROUP,www.vectotasgroup.eu,Financial Services,11-50,Pays-Bas,prospect,09/24/21,,s.okafor,,
ACC-027774,VertitasPartners,vertitaspartners.io,Logistics,501-1000,france,lead,02/16/18,2024-06-21,p.lindqvist,,
ACC-009798,HelioEnergie,helioenergie.co,Real Estate,501-1000,france,customer,2022-03-08,02/05/26,l.moreau,25000,05/29/27
ACC-024326,Ivorodordata,ivorodordata.com,Media,11-50,Switzerland,lost,2021-12-03,11/23/24,,,
ACC-009743,ArdenbelData,ardenbeldata.fr,Manufacturing,11-50,FR,lead,2021-12-24,03/10/2022,,,
ACC-011965,Corticalhub SARL,corticalhub.eu,Logistics,501-1000,Italie,lead,05/02/2018,2025-04-20,m.delacroix,,
ACC-024491,Rapirindynamics SARL,rapirindynamics.io,Real Estate,51-200,CH,lead,07/21/23,2024-12-18,,,
ACC-011717,Grimofinlogistics Group,grimofinlogistics.com,Energy,1001-5000,Fr,lead,06/20/21,2024-11-23,a.morel,,
ACC-002811,NordihalSolutions,nordihalsolutions.fr,Manufacturing,5000+,nederland,lead,2022-07-28,,,,
ACC-017011,Primosolgroup,primosolgroup.com,Real Estate,201-500,Fr,opportunity,12/27/18,2023-03-05,,,
ACC-023189,Stellamarconseil,stellamarconseil.com,Telecom,11-50,Switzerland,lead,10/06/24,25/05/2026,c.rinaldi,,
ACC-003634,Grimogorforge,grimogorforge.co,,201-500,spain,lead,2018-03-25,2023-11-19,j.vandenberg,,
ACC-003405,LumitasSystems SA,lumitassystems.co,Media,51-200,France,lost,2021-12-15,2024-03-24,m.delacroix,,
ACC-025770,EstevalexFinance France,estevalexfinance.co,Automotive,11-50,belgium,lost,08/16/19,11/17/19,,,
ACC-017173,Flexilexconseil Group,flexilexconseil.com,Agriculture,201-500,FRANCE,prospect,2020-05-22,2022-12-22,t.becker,,
ACC-007378,TerraPartners,,Software,201-500,Switzerland,customer,2022-10-23,2026-07-05,c.rinaldi,25000,19/04/2027
ACC-010467,CorticalLab,corticallab.fr,Education,11-50,DE,prospect,27/03/2026,2026-06-02,,,
ACC-025122,FernogorImmo SAS,fernogorimmo.fr,Consulting,51-200,BE,prospect,04/07/2023,2023-11-22,s.okafor,,
ACC-007207,PrimogorConsulting,primogorconsulting.com,Retail,1-10,DE,lead,03/08/2023,09/08/2025,c.rinaldi,,
ACC-020036,VertivenFood SA,vertivenfood.fr,Manufacturing,51-200,FR,lead,02/28/23,09/15/25,j.vandenberg,,
ACC-011134,Belfobelsolutions,belfobelsolutions.eu,Consulting,51-200,DE,churned,10/03/18,2025-01-18,a.morel,3000,
ACC-025458,TalogorGroup SAS,,Manufacturing,51-200,FRANCE,lead,09/21/18,12/13/18,p.lindqvist,,
ACC-001387,Nordilextech,nordilextech.fr,Hospitality,1-10,france,lead,12/01/24,2026-05-22,c.rinaldi,,
ACC-029278,Roccaviaforge France,,Construction,201-500,Fr,lost,29/03/2019,,a.morel,,
ACC-016136,Cendramardata SARL,cendramardata.fr,Education,11-50,France,churned,2025-06-24,2026-02-07,p.lindqvist,8000,
ACC-003638,Nordiquifinance,nordiquifinance.fr,Consulting,201-500,Italie,customer,04/07/23,17/03/2024,,12000,09/02/2027
ACC-001931,HaldepraImmo Group,haldepraimmo.eu,Energy,201-500,Switzerland,prospect,07/04/20,12/15/25,j.vandenberg,,
ACC-011622,Ovalitaslogic Group,ovalitaslogic.eu,Manufacturing,11-50,FR,customer,03/29/23,29/06/2026,p.lindqvist,5000,02/09/27
ACC-014387,RapilexForge,rapilexforge.co,Energy,51-200,Spain,customer,06/01/23,06/02/26,j.vandenberg,3000,2026-10-01
ACC-004008,FlexidorFinance SAS,flexidorfinance.com,Software,11-50,Fr,lead,12/23/18,09/11/22,s.okafor,,
ACC-006675,Lumimarforge SAS,lumimarforge.fr,Agriculture,1-10,GB,lost,14/07/2018,16/02/2025,c.rinaldi,,
ACC-004023,Brioservices France,brioservices.co,Logistics,51-200,BE,prospect,09/18/18,31/10/2020,m.delacroix,,
ACC-006325,MeriquiImmo,meriquiimmo.fr,Healthcare,201-500,Allemagne,customer,11/01/20,10/22/21,j.vandenberg,40000,05/04/2027
ACC-018217,PrimocalFlow,primocalflow.io,Retail,51-200,IT,prospect,07/09/2025,01/07/26,t.becker,,
ACC-010913,Flexisolpharma SARL,flexisolpharma.eu,Logistics,51-200,FRANCE,prospect,2019-12-28,2022-05-19,,,
ACC-022863,RoccanexForge France,roccanexforge.fr,Automotive,11-50,nederland,customer,03/01/2019,24/07/2021,t.becker,40000,2026-09-05
ACC-019278,Grimoviadynamics,grimoviadynamics.co,Agriculture,1-10,Espagne,lead,29/02/2020,05/24/21,l.moreau,,
ACC-029923,DelfiDynamics,delfidynamics.com,Software,11-50,CH,prospect,19/01/2019,,c.rinaldi,,
ACC-012199,TalomarSystems SARL,talomarsystems.fr,,201-500,Belgium,prospect,07/01/2020,2025-10-20,j.vandenberg,,
ACC-013414,PrimodorSystems,primodorsystems.com,Automotive,51-200,IT,prospect,06/11/19,18/12/2020,,,
ACC-015517,Lorriquilogic,lorriquilogic.eu,Financial Services,1-10,GB,opportunity,07/12/19,01/18/25,,,
ACC-016306,MeritasData,,Telecom,501-1000,DE,lost,2018-06-30,20/08/2021,,,
ACC-004906,OptilexTech,optilextech.fr,Real Estate,1001-5000,Fr,customer,2018-04-20,2025-08-02,,5000,18/04/2027
ACC-019558,Caurilexpartners France,caurilexpartners.eu,Media,11-50,FRANCE,prospect,09/05/18,,s.okafor,,
ACC-029578,SoliviaHub,soliviahub.fr,,11-50,IT,prospect,23/02/2020,,c.rinaldi,,
ACC-023585,CaurisolImmo Group,caurisolimmo.com,Real Estate,1001-5000,Netherlands,lead,2023-10-06,2026-05-26,c.rinaldi,,
ACC-017594,Gallihalworks & Co,gallihalworks.fr,Energy,1-10,Pays-Bas,lead,01/23/19,2026-04-18,p.lindqvist,,
ACC-000240,Cendralexenergie SAS,cendralexenergie.co,Logistics,11-50,France,churned,04/14/26,05/03/26,p.lindqvist,12000,
ACC-013360,Cendrahallabs & Co,cendrahallabs.com,Telecom,51-200,BE,lead,01/07/2023,,s.okafor,,
ACC-010338,FernofinLogic,fernofinlogic.fr,Real Estate,11-50,Belgique,opportunity,04/01/2019,,p.lindqvist,,
ACC-006563,Briotech,briotech.fr,Hospitality,51-200,FRANCE,lead,03/20/21,2022-09-02,p.lindqvist,,
ACC-018194,PerriviaEnergie SA,perriviaenergie.fr,Real Estate,201-500,Pays-Bas,opportunity,11/19/19,04/03/20,,,
ACC-003344,Primonexhub SAS,primonexhub.fr,Logistics,11-50,FR,prospect,03/23/19,2020-08-11,,,
ACC-009392,Helioviadynamics France,helioviadynamics.fr,Financial Services,11-50,France,churned,26/03/2020,14/08/2023,l.moreau,5000,
ACC-001781,TalorinSoft,,Healthcare,201-500,germany,prospect,12/06/2018,2022-01-16,p.lindqvist,,
ACC-017637,YellomarSolutions & Co,yellomarsolutions.com,Energy,,france,lost,07/15/25,08/08/25,s.okafor,,
ACC-000997,Fernotasconseil & Co,fernotasconseil.fr,,1001-5000,ES,prospect,01/03/18,,,,
ACC-026348,Caurinexindustries Group,caurinexindustries.fr,Hospitality,201-500,FR,lead,11/09/2018,,l.moreau,,
ACC-014554,OptivenDynamics SA,optivendynamics.eu,Agriculture,501-1000,Spain,prospect,09/20/24,10/12/25,c.rinaldi,,
ACC-017983,Quantibelhub France,quantibelhub.com,Real Estate,501-1000,FR,lead,02/12/2020,05/25/22,,,
ACC-026067,Axiohaltech & Co,axiohaltech.co,Retail,11-50,FR,lead,2020-02-09,2023-08-11,,,
ACC-009829,Yellopralogic,www.yellopralogic.io,Retail,501-1000,france,churned,02/09/2019,25/04/2023,,12000,
ACC-024363,AltahalSoft,altahalsoft.fr,Logistics,11-50,Fr,prospect,15/12/2022,2025-05-29,,,
ACC-008924,Wallilexdigital SA,wallilexdigital.fr,Energy,501-1000,Espagne,lead,2018-06-05,2025-05-08,s.okafor,,
ACC-027094,Vertimartech France,vertimartech.io,Manufacturing,51-200,UK,lost,01/16/24,2025-12-31,m.delacroix,,
ACC-018896,Nordifinflow,nordifinflow.fr,Energy,,Spain,customer,04/19/20,08/20/20,t.becker,5000,09/11/2026
ACC-027351,TerralexLab,terralexlab.io,Agriculture,11-50,Espagne,lead,2020-06-02,12/07/2024,p.lindqvist,,
ACC-010214,Doriodigital,doriodigital.io,,1-10,Fr,customer,09/27/22,14/07/2026,c.rinaldi,8000,02/14/27
ACC-029838,OptihalData,optihaldata.eu,Telecom,11-50,United Kingdom,lost,07/24/23,,,,
ACC-002689,StellamarTech,stellamartech.io,Consulting,11-50,germany,lost,03/20/21,,,,
ACC-010146,Lorridorgroup SARL,lorridorgroup.co,Media,51-200,Fr,lost,2023-04-10,07/10/23,c.rinaldi,,
ACC-010933,Zephilumgroup,zephilumgroup.co,Energy,51-200,FRANCE,lead,2025-02-21,2025-02-21,p.lindqvist,,
ACC-006460,RapivenData SA,,Telecom,51-200,FR,prospect,04/17/26,07/16/26,s.okafor,,
ACC-021237,Fabrifindata SAS,fabrifindata.co,Real Estate,501-1000,BE,prospect,30/07/2019,31/10/2020,a.morel,,
ACC-007062,UlmiquiPartners,ulmiquipartners.com,,51-200,FRANCE,prospect,27/06/2026,2026-07-18,a.morel,,
ACC-025024,Perripraconseil,perripraconseil.fr,Financial Services,201-500,france,lost,2024-08-10,28/09/2024,j.vandenberg,,
ACC-014523,OvalitasConsulting,www.ovalitasconsulting.com,Hospitality,1-10,FRANCE,lead,01/13/25,30/03/2025,j.vandenberg,,
ACC-022689,Ederirinforge France,ederirinforge.co,Real Estate,11-50,Italy,lead,08/28/23,10/12/2023,a.morel,,
ACC-003359,Belfohalfood SAS,belfohalfood.com,,501-1000,Italie,lost,08/08/22,10/31/23,a.morel,,
ACC-003329,GallivenEnergie,gallivenenergie.fr,,51-200,belgium,lead,18/07/2020,12/12/23,t.becker,,
ACC-007211,Briolexdata & Co,briolexdata.fr,Retail,51-200,france,churned,2020-06-21,02/05/25,,8000,
ACC-022646,Neovenflow,neovenflow.co,Software,501-1000,Switzerland,prospect,10/05/2020,,s.okafor,,
ACC-002339,Delfitasforge & Co,delfitasforge.com,,51-200,germany,churned,01/12/19,05/27/24,l.moreau,12000,
ACC-000171,UlmilexWorks,,Manufacturing,501-1000,FR,lead,2019-11-28,02/12/24,t.becker,,
ACC-000883,EstevacalConsulting France,www.estevacalconsulting.com,Retail,11-50,DE,lead,2022-02-01,04/24/24,t.becker,,
ACC-013588,EderidorPharma,ederidorpharma.com,Media,,nederland,lead,05/26/18,18/10/2020,t.becker,,
ACC-021672,OptiviaForge SAS,optiviaforge.fr,,51-200,Pays-Bas,churned,2020-01-01,03/03/2025,s.okafor,3000,
ACC-026737,StellalumPharma SAS,stellalumpharma.io,Hospitality,51-200,France,lost,18/01/2021,2022-06-04,c.rinaldi,,
ACC-027106,Axiohallogistics France,axiohallogistics.com,Software,51-200,France,lead,15/12/2019,04/03/20,a.morel,,
ACC-016237,Serenimarpharma France,serenimarpharma.fr,Financial Services,201-500,belgium,lead,2025-02-25,22/04/2025,m.delacroix,,
ACC-003048,Lumivengroup,lumivengroup.fr,Automotive,201-500,GB,prospect,2020-02-01,2020-06-05,s.okafor,,
ACC-008522,Juntolumpartners SARL,juntolumpartners.co,Software,51-200,Belgique,lead,12/06/20,2021-12-10,j.vandenberg,,
ACC-029958,ALTADATA,altadata.com,Hospitality,51-200,IT,prospect,03/06/2020,,m.delacroix,,
ACC-007011,Quantihalmedia,quantihalmedia.io,Telecom,1-10,FRANCE,lead,09/10/2020,21/10/2024,p.lindqvist,,
ACC-024072,Optitasforge Group,optitasforge.fr,Manufacturing,501-1000,Fr,lead,2018-01-01,2018-01-02,l.moreau,,
ACC-005758,YellogorFinance,yellogorfinance.io,Manufacturing,11-50,FR,lost,15/08/2021,21/09/2021,c.rinaldi,,
ACC-011731,FernosolSystems,fernosolsystems.com,Media,11-50,France,lost,03/26/22,,p.lindqvist,,
ACC-009312,Mavimartech SAS,mavimartech.eu,Construction,11-50,Allemagne,churned,2021-11-24,2023-08-13,c.rinaldi,5000,
ACC-013469,Haldenexdigital,haldenexdigital.com,Energy,51-200,DE,prospect,10/12/23,,a.morel,,
ACC-018362,Iberirinenergie SA,iberirinenergie.eu,Construction,201-500,Fr,lost,2025-08-02,2025-11-29,p.lindqvist,,
